DATE,CURRENT YEAR HIGH,CURRENT YEAR LOW,PREVIOUS YEAR DIVIDENDS,CURRENT YEAR DIVIDENDS,VOLUME,TODAY'S HIGH,TODAY'S LOW,LAST TRADED PRICE,CLOSING PRICE
2014-05-01,0.12,0.02,,,50000,0.12,0.12,0.12,0.12
2014-05-02,0.12,0.02,,,0,0.0,0.0,0.12,0.12
2014-05-05,0.12,0.03,,,0,0.0,0.0,0.12,0.12
2014-05-06,0.12,0.03,,,0,0.0,0.0,0.12,0.12
2014-05-07,0.12,0.03,,,0,0.0,0.0,0.12,0.12
2014-05-08,0.12,0.03,,,0,0.0,0.0,0.12,0.12
2014-05-09,0.12,0.03,,,0,0.0,0.0,0.12,0.12
2014-05-12,0.12,0.03,,,0,0.0,0.0,0.12,0.12
2014-05-13,0.12,0.03,,,0,0.0,0.0,0.12,0.12
2014-05-14,0.12,0.03,,,0,0.0,0.0,0.12,0.12
2014-05-15,0.12,0.03,,,9880,0.1,0.1,0.1,0.1
2014-05-16,0.12,0.03,,,0,0.0,0.0,0.1,0.1
2014-05-19,0.12,0.03,,,0,0.0,0.0,0.1,0.1
2014-05-20,0.12,0.03,,,0,0.0,0.0,0.1,0.1
2014-05-21,0.12,0.03,,,0,0.0,0.0,0.1,0.1
2014-05-22,0.12,0.03,,,0,0.0,0.0,0.1,0.1
2014-05-26,0.12,0.03,,,0,0.0,0.0,0.1,0.1
2014-05-27,0.12,0.03,,,0,0.0,0.0,0.1,0.1
2014-05-28,0.12,0.03,,,0,0.0,0.0,0.1,0.1
2014-05-29,0.12,0.03,,,0,0.0,0.0,0.1,0.1
2014-05-30,0.12,0.03,,,0,0.0,0.0,0.1,0.1
2014-06-02,0.12,0.03,,,0,0.0,0.0,0.1,0.1
2014-06-03,0.12,0.03,,,571386,0.1,0.08,0.1,0.09
2014-06-04,0.12,0.03,,,0,0.0,0.0,0.1,0.09
2014-06-05,0.12,0.03,,,0,0.0,0.0,0.1,0.09
2014-06-06,0.12,0.03,,,0,0.0,0.0,0.1,0.09
2014-06-09,0.12,0.03,,,44000,0.07,0.07,0.07,0.07
2014-06-10,0.12,0.03,,,0,0.0,0.0,0.07,0.07
2014-06-11,0.12,0.03,,,11000,0.08,0.07,0.07,0.07
2014-06-12,0.12,0.03,,,0,0.0,0.0,0.07,0.07
2014-06-13,0.12,0.03,,,60000,0.07,0.07,0.07,0.07
2014-06-16,0.12,0.03,,,0,0.0,0.0,0.07,0.07
2014-06-17,0.12,0.03,,,0,0.0,0.0,0.07,0.07
2014-06-18,0.12,0.03,,,4000,0.08,0.08,0.08,0.08
2014-06-19,0.12,0.03,,,0,0.0,0.0,0.08,0.08
2014-06-20,0.12,0.03,,,0,0.0,0.0,0.08,0.08
2014-06-23,0.12,0.03,,,0,0.0,0.0,0.08,0.08
2014-06-24,0.12,0.03,,,0,0.0,0.0,0.08,0.08
2014-06-25,0.12,0.03,,,0,0.0,0.0,0.08,0.08
2014-06-26,0.12,0.03,,,0,0.0,0.0,0.08,0.08
2014-06-27,0.12,0.03,,,0,0.0,0.0,0.08,0.08
2014-06-30,0.12,0.03,,,0,0.0,0.0,0.08,0.08
2014-07-01,0.12,0.03,,,0,0.0,0.0,0.08,0.08
2014-07-02,0.12,0.03,,,0,0.0,0.0,0.08,0.08
2014-07-03,0.12,0.03,,,0,0.0,0.0,0.08,0.08
2014-07-04,0.12,0.03,,,0,0.0,0.0,0.08,0.08
2014-07-07,0.12,0.03,,,0,0.0,0.0,0.08,0.08
2014-07-08,0.12,0.03,,,0,0.0,0.0,0.08,0.08
2014-07-09,0.12,0.03,,,5000,0.08,0.08,0.08,0.08
2014-07-10,0.12,0.03,,,0,0.0,0.0,0.08,0.08
2014-07-11,0.12,0.03,,,0,0.0,0.0,0.08,0.08
2014-07-14,0.12,0.03,,,0,0.0,0.0,0.08,0.08
2014-07-15,0.12,0.03,,,0,0.0,0.0,0.08,0.08
2014-07-16,0.12,0.03,,,0,0.0,0.0,0.08,0.08
2014-07-17,0.12,0.03,,,0,0.0,0.0,0.08,0.08
2014-07-18,0.12,0.03,,,0,0.0,0.0,0.08,0.08
2014-07-21,0.12,0.03,,,0,0.0,0.0,0.08,0.08
2014-07-22,0.12,0.03,,,6000,0.08,0.08,0.08,0.08
2014-07-23,0.12,0.03,,,510000,0.09,0.09,0.09,0.09
2014-07-24,0.12,0.03,,,0,0.0,0.0,0.09,0.09
2014-07-25,0.12,0.03,,,0,0.0,0.0,0.09,0.09
2014-07-28,0.12,0.03,,,0,0.0,0.0,0.09,0.09
2014-07-29,0.12,0.03,,,0,0.0,0.0,0.09,0.09
2014-07-30,0.12,0.03,,,0,0.0,0.0,0.09,0.09
2014-07-31,0.12,0.03,,,40000,0.08,0.08,0.08,0.08
2014-08-04,0.12,0.03,,,0,0.0,0.0,0.08,0.08
2014-08-05,0.12,0.03,,,0,0.0,0.0,0.08,0.08
2014-08-07,0.12,0.03,,,0,0.0,0.0,0.08,0.08
2014-08-08,0.12,0.03,,,0,0.0,0.0,0.08,0.08
2014-08-11,0.12,0.03,,,0,0.0,0.0,0.08,0.08
2014-08-12,0.12,0.03,,,0,0.0,0.0,0.08,0.08
2014-08-13,0.12,0.03,,,0,0.0,0.0,0.08,0.08
2014-08-14,0.12,0.03,,,0,0.0,0.0,0.08,0.08
2014-08-15,0.12,0.03,,,0,0.0,0.0,0.08,0.08
2014-08-18,0.12,0.03,,,0,0.0,0.0,0.08,0.08
2014-08-19,0.12,0.03,,,33000,0.07,0.07,0.07,0.07
2014-08-20,0.12,0.03,,,0,0.0,0.0,0.07,0.07
2014-08-21,0.12,0.03,,,0,0.0,0.0,0.07,0.07
2014-08-22,0.12,0.03,,,0,0.0,0.0,0.07,0.07
2014-08-25,0.12,0.03,,,0,0.0,0.0,0.07,0.07
2014-08-26,0.12,0.03,,,0,0.0,0.0,0.07,0.07
2014-08-27,0.12,0.03,,,0,0.0,0.0,0.07,0.07
2014-08-28,0.12,0.03,,,0,0.0,0.0,0.07,0.07
2014-08-29,0.12,0.03,,,0,0.0,0.0,0.07,0.07
2014-09-01,0.12,0.03,,,0,0.0,0.0,0.07,0.07
2014-09-02,0.12,0.03,,,0,0.0,0.0,0.07,0.07
2014-09-03,0.12,0.03,,,0,0.0,0.0,0.07,0.07
2014-09-04,0.12,0.03,,,0,0.0,0.0,0.07,0.07
2014-09-05,0.12,0.03,,,0,0.0,0.0,0.07,0.07
2014-09-08,0.12,0.03,,,2000,0.07,0.07,0.07,0.07
2014-09-09,0.12,0.03,,,4000,0.07,0.07,0.07,0.07
2014-09-10,0.12,0.03,,,6000,0.07,0.07,0.07,0.07
2014-09-11,0.12,0.03,,,0,0.0,0.0,0.07,0.07
2014-09-12,0.12,0.03,,,0,0.0,0.0,0.07,0.07
2014-09-15,0.12,0.03,,,0,0.0,0.0,0.07,0.07
2014-09-16,0.12,0.03,,,0,0.0,0.0,0.07,0.07
2014-09-17,0.12,0.03,,,0,0.0,0.0,0.07,0.07
2014-09-18,0.12,0.03,,,0,0.0,0.0,0.07,0.07
2014-09-19,0.12,0.03,,,0,0.0,0.0,0.07,0.07
2014-09-22,0.12,0.03,,,0,0.0,0.0,0.07,0.07
2014-09-23,0.12,0.03,,,0,0.0,0.0,0.07,0.07
2014-09-24,0.12,0.03,,,0,0.0,0.0,0.07,0.07
2014-09-25,0.12,0.03,,,0,0.0,0.0,0.07,0.07
2014-09-26,0.12,0.03,,,0,0.0,0.0,0.07,0.07
2014-09-29,0.12,0.03,,,155500,0.07,0.07,0.07,0.07
2014-09-30,0.12,0.03,,,0,0.0,0.0,0.07,0.07
2014-10-01,0.12,0.03,,,0,0.0,0.0,0.07,0.07
2014-10-02,0.12,0.03,,,0,0.0,0.0,0.07,0.07
2014-10-03,0.12,0.03,,,0,0.0,0.0,0.07,0.07
2014-10-06,0.12,0.03,,,0,0.0,0.0,0.07,0.07
2014-10-07,0.12,0.03,,,0,0.0,0.0,0.07,0.07
2014-10-08,0.12,0.03,,,0,0.0,0.0,0.07,0.07
2014-10-09,0.12,0.03,,,200,0.07,0.07,0.07,0.07
2014-10-10,0.12,0.03,,,0,0.0,0.0,0.07,0.07
2014-10-13,0.12,0.03,,,334000,0.07,0.07,0.07,0.07
2014-10-14,0.12,0.03,,,0,0.0,0.0,0.07,0.07
2014-10-15,0.12,0.03,,,0,0.0,0.0,0.07,0.07
2014-10-16,0.12,0.03,,,0,0.0,0.0,0.07,0.07
2014-10-17,0.12,0.03,,,0,0.0,0.0,0.07,0.07
2014-10-21,0.12,0.03,,,0,0.0,0.0,0.07,0.07
2014-10-22,0.12,0.03,,,0,0.0,0.0,0.07,0.07
2014-10-23,0.12,0.03,,,0,0.0,0.0,0.07,0.07
2014-10-24,0.12,0.03,,,0,0.0,0.0,0.07,0.07
2014-10-27,0.12,0.03,,,211200,0.07,0.07,0.07,0.07
2014-10-28,0.12,0.03,,,0,0.0,0.0,0.07,0.07
2014-10-29,0.12,0.03,,,0,0.0,0.0,0.07,0.07
2014-10-30,0.12,0.03,,,0,0.0,0.0,0.07,0.07
2014-10-31,0.12,0.03,,,100000,0.08,0.08,0.08,0.08
2014-11-03,0.12,0.03,,,0,0.0,0.0,0.08,0.08
2014-11-04,0.12,0.03,,,0,0.0,0.0,0.08,0.08
2014-11-05,0.12,0.03,,,0,0.0,0.0,0.08,0.08
2014-11-06,0.12,0.03,,,0,0.0,0.0,0.08,0.08
2014-11-07,0.12,0.03,,,0,0.0,0.0,0.08,0.08
2014-11-10,0.12,0.03,,,3000,0.07,0.07,0.07,0.07
2014-11-11,0.12,0.03,,,0,0.0,0.0,0.07,0.07
2014-11-12,0.12,0.03,,,0,0.0,0.0,0.07,0.07
2014-11-13,0.12,0.03,,,0,0.0,0.0,0.07,0.07
2014-11-14,0.12,0.03,,,0,0.0,0.0,0.07,0.07
2014-11-17,0.12,0.03,,,0,0.0,0.0,0.07,0.07
2014-11-18,0.12,0.03,,,0,0.0,0.0,0.07,0.07
2014-11-19,0.12,0.03,,,1600,0.07,0.07,0.07,0.07
2014-11-20,0.12,0.03,,,0,0.0,0.0,0.07,0.07
2014-11-21,0.12,0.03,,,0,0.0,0.0,0.07,0.07
2014-11-24,0.12,0.03,,,0,0.0,0.0,0.07,0.07
2014-11-25,0.12,0.03,,,0,0.0,0.0,0.07,0.07
2014-11-26,0.12,0.03,,,2000,0.07,0.07,0.07,0.07
2014-11-27,0.12,0.03,,,0,0.0,0.0,0.07,0.07
2014-11-28,0.12,0.03,,,10000,0.07,0.07,0.07,0.07
2014-12-01,0.12,0.03,,,0,0.0,0.0,0.07,0.07
2014-12-02,0.12,0.03,,,0,0.0,0.0,0.07,0.07
2014-12-03,0.12,0.03,,,0,0.0,0.0,0.07,0.07
2014-12-04,0.12,0.03,,,0,0.0,0.0,0.07,0.07
2014-12-05,0.12,0.03,,,0,0.0,0.0,0.07,0.07
2014-12-08,0.12,0.04,,,0,0.0,0.0,0.07,0.07
2014-12-09,0.12,0.04,,,0,0.0,0.0,0.07,0.07
2014-12-10,0.12,0.04,,,2000,0.07,0.07,0.07,0.07
2014-12-11,0.12,0.04,,,0,0.0,0.0,0.07,0.07
2014-12-12,0.12,0.04,,,0,0.0,0.0,0.07,0.07
2014-12-15,0.12,0.04,,,0,0.0,0.0,0.07,0.07
2014-12-16,0.12,0.04,,,0,0.0,0.0,0.07,0.07
2014-12-17,0.12,0.04,,,0,0.0,0.0,0.07,0.07
2014-12-18,0.12,0.04,,,0,0.0,0.0,0.07,0.07
2014-12-19,0.12,0.04,,,0,0.0,0.0,0.07,0.07
2014-12-22,0.12,0.05,,,0,0.0,0.0,0.07,0.07
2014-12-23,0.12,0.05,,,0,0.0,0.0,0.07,0.07
2014-12-24,0.12,0.05,,,0,0.0,0.0,0.07,0.07
2014-12-29,0.12,0.05,,,0,0.0,0.0,0.07,0.07
2014-12-30,0.12,0.05,,,0,0.0,0.0,0.07,0.07
2014-12-31,0.12,0.05,,,0,0.0,0.0,0.07,0.07
2015-01-02,0.12,0.05,,,0,0.0,0.0,0.07,0.07
2015-01-05,0.12,0.05,,,0,0.0,0.0,0.07,0.07
2015-01-06,0.12,0.05,,,0,0.0,0.0,0.07,0.07
2015-01-07,0.12,0.05,,,0,0.0,0.0,0.07,0.07
2015-01-08,0.12,0.05,,,0,0.0,0.0,0.07,0.07
2015-01-09,0.12,0.05,,,0,0.0,0.0,0.07,0.07
2015-01-12,0.12,0.05,,,0,0.0,0.0,0.07,0.07
2015-01-13,0.12,0.05,,,0,0.0,0.0,0.07,0.07
2015-01-14,0.12,0.05,,,0,0.0,0.0,0.07,0.07
2015-01-15,0.12,0.05,,,0,0.0,0.0,0.07,0.07
2015-01-16,0.12,0.05,,,0,0.0,0.0,0.07,0.07
2015-01-19,0.12,0.05,,,0,0.0,0.0,0.07,0.07
2015-01-20,0.12,0.05,,,0,0.0,0.0,0.07,0.07
